alpha_id,family,signal_source,direction,thesis,safety_filter,execution_note,evidence_hint
true_gap_fade,fair_value,equity_gap,fade,Buy cheap rTokens only when the token trades below the official equity anchor after fees.,certificate must be MISPRICED/LONG_ONLY_FADE and all hard gates must pass,rToken-only paper fill; flat by open or signal exit,candidate-strategies.csv source=equity_gap direction=fade
perp_illusion_fade,basis_diagnostic,perp_gap,fade,Fade cases where the perp/rToken relationship reveals an off-hours dislocation hidden from naive equity anchoring.,"reject stale anchors, thin books, and sub-fee-floor edge","perp is treated as signal source, not mandatory hedge",current Alpha Factory champion family
liquidity_clean_gap,execution_quality,equity_gap,fade,"Only trade gaps when the quote/book state can survive fees, spread, and depth checks.",liquidity_score high; slippage_bps less than modeled edge,partial/no-fill cases are first-class outcomes,evidence/fill-model
session_phase_gap,session_microstructure,equity_gap,fade,"Separate off-hours, pre-open, post-close, weekend, holiday, and RTH stand-down regimes.",NYSE calendar state must permit the claim being tested,session tag is part of the run card,evidence/oos/session-summary.csv
news_aware_abstain,event_risk,event_card,abstain,Do not fade fresh company news even if the gap looks statistically attractive.,fresh catalyst forces ABSTAIN,non-trade is signed and graded as an agent action,sample blocked verdicts and perception tests
macro_aware_block,event_risk,macro_window,block,High-severity macro windows can make cross-asset gaps non-stationary; block instead of forcing a trade.,macro severity high => no tradeable certificate,counterfactual logged under safety alpha,pnl-casefile/safety-alpha-report.md
tracking_error_filter,token_quality,token_grade,filter,Only allow size on tokens whose rToken tracking behavior is reliable enough to support fair-value claims.,A/B grades preferred; C/D capped or blocked,quality board constrains notional before execution,TOKEN_SAFETY_STANDARD.md
tight_book_only,execution_quality,book_state,filter,A signal is not tradeable unless spread and available depth leave positive net edge.,empty/one-sided/crossed/stale/wide books rejected,depth-aware fill model where available,fill-model-report.md
high_threshold_only,overfit_control,equity_gap|perp_gap,fade,Require larger gaps to reduce churn and avoid sub-fee noise.,Overfit Court rejects fragile thresholds,threshold sensitivity is recorded in trial registry,alpha-factory/rejected-overfit-strategies.csv
weekend_to_monday_gap,calendar_regime,session_phase,fade,Weekend gaps are measured separately because equity anchor is stale for longer and Monday open resolves the claim.,stale anchor cannot be tradeable unless the run is explicitly research-only,graded in OOS/session study when data exists,calendar-regression-report.md
